product_id,product_name,category,price,review_score,review_count,Sale_January,Sale_Feb,Sale_March,Sale_April,Sale_May,Sale_June,Sale_July,Sale_Aug,Sale_Sept,Sale_Oct,Sale_Nov,Sale_Dec,Revenue_Jan,Revenue_Feb,Revenue_March,Revenue_April,Revenue_may,Revenue_june,Revenue_july,Revenue_Aug,Revenue_Sept,Revenue_Oct,Revenue_Nov,Revenue_Dec,Revenue
49,Product_49,Health,275.62,4.5,492,126,203,342,489,178,543,235,287,192,918,597,690,34728.12,55950.86,94262.04,134778.18,49060.36,149661.66,64770.7,79102.94,52919.04,253019.16,164545.14,190177.8,1322976
50,Product_50,Health,96.5,1.1,888,256,582,144,794,196,745,25,627,315,287,767,691,24704,56163,13896,76621,18914,71892.5,2412.5,60505.5,30397.5,27695.5,74015.5,66681.5,523898.5
51,Product_51,Health,484.94,4.5,896,675,386,64,880,734,793,583,337,301,85,720,98,327334.5,187186.84,31036.16,426747.2,355945.96,384557.42,282720.02,163424.78,145966.94,41219.9,349156.8,47524.12,2742820.64
52,Product_52,Clothing,388.69,3.1,142,546,777,246,181,88,24,260,877,547,233,726,841,212224.74,302012.13,95617.74,70352.89,34204.72,9328.56,101059.4,340881.13,212613.43,90564.77,282188.94,326888.29,2077936.74
53,Product_53,Sports,470.05,4.8,313,193,97,734,961,798,842,765,913,953,746,885,33,90719.65,45594.85,345016.7,451718.05,375099.9,395782.1,359588.25,429155.65,447957.65,350657.3,415994.25,15511.65,3722796
54,Product_54,Home & Kitchen,447.94,4.2,165,702,344,990,816,433,790,270,36,715,312,611,931,314453.88,154091.36,443460.6,365519.04,193958.02,353872.6,120943.8,16125.84,320277.1,139757.28,273691.34,417032.14,3113183
55,Product_55,Books,300.96,5,314,103,802,489,655,787,737,122,793,933,364,560,581,30998.88,241369.92,147169.44,197128.8,236855.52,221807.52,36717.12,238661.28,280795.68,109549.44,168537.6,174857.76,2084448.96
56,Product_56,Clothing,461.33,2.4,21,534,207,824,897,747,56,655,136,778,776,200,170,246350.22,95495.31,380135.92,413813.01,344613.51,25834.48,302171.15,62740.88,358914.74,357992.08,92266,78426.1,2758753.4
57,Product_57,Clothing,48.8,4.1,82,264,513,438,315,182,179,256,507,267,798,947,365,12883.2,25034.4,21374.4,15372,8881.6,8735.2,12492.8,24741.6,13029.6,38942.4,46213.6,17812,245512.8
58,Product_58,Health,102.01,2.6,581,801,635,105,693,208,231,655,226,169,838,257,783,81710.01,64776.35,10711.05,70692.93,21218.08,23564.31,66816.55,23054.26,17239.69,85484.38,26216.57,79873.83,571358.01
59,Product_59,Books,27.39,2.9,131,941,791,180,29,492,893,420,319,550,904,479,58,25773.99,21665.49,4930.2,794.31,13475.88,24459.27,11503.8,8737.41,15064.5,24760.56,13119.81,1588.62,165873.84
60,Product_60,Health,166.04,3.5,599,973,585,183,595,129,342,258,839,454,268,887,180,161556.92,97133.4,30385.32,98793.8,21419.16,56785.68,42838.32,139307.56,75382.16,44498.72,147277.48,29887.2,945265.72
61,Product_61,Clothing,197.4,4.5,730,383,165,225,677,664,476,947,915,650,697,177,18,75604.2,32571,44415,133639.8,131073.6,93962.4,186937.8,180621,128310,137587.8,34939.8,3553.2,1183215.6
62,Product_62,Home & Kitchen,139.32,4.9,933,259,21,776,795,12,798,46,181,291,130,756,225,36083.88,2925.72,108112.32,110759.4,1671.84,111177.36,6408.72,25216.92,40542.12,18111.6,105325.92,31347,597682.8
63,Product_63,Health,415.23,4.1,984,413,153,789,792,633,575,862,873,563,802,122,472,171489.99,63530.19,327616.47,328862.16,262840.59,238757.25,357928.26,362495.79,233774.49,333014.46,50658.06,195988.56,2926956.27
64,Product_64,Health,181.59,2.7,305,990,938,908,95,870,454,524,85,798,992,341,94,179774.1,170331.42,164883.72,17251.05,157983.3,82441.86,95153.16,15435.15,144908.82,180137.28,61922.19,17069.46,1287291.51
65,Product_65,Health,144.06,2.7,915,357,438,88,380,731,231,887,466,800,788,170,880,51429.42,63098.28,12677.28,54742.8,105307.86,33277.86,127781.22,67131.96,115248,113519.28,24490.2,126772.8,895476.96
66,Product_66,Clothing,273.63,4,371,74,294,687,777,105,288,207,925,140,831,844,296,20248.62,80447.22,187983.81,212610.51,28731.15,78805.44,56641.41,253107.75,38308.2,227386.53,230943.72,80994.48,1496208.84
67,Product_67,Home & Kitchen,74.76,2,857,354,218,529,443,374,212,310,52,145,350,647,592,26465.04,16297.68,39548.04,33118.68,27960.24,15849.12,23175.6,3887.52,10840.2,26166,48369.72,44257.92,315935.76
68,Product_68,Books,402.09,1.4,853,583,668,370,297,581,257,746,859,424,179,58,174,234418.47,268596.12,148773.3,119420.73,233614.29,103337.13,299959.14,345395.31,170486.16,71974.11,23321.22,69963.66,2089259.64
69,Product_69,Electronics,41.9,2.4,384,770,494,971,807,706,529,148,866,313,801,704,221,32263,20698.6,40684.9,33813.3,29581.4,22165.1,6201.2,36285.4,13114.7,33561.9,29497.6,9259.9,307127
70,Product_70,Books,493.51,2.1,908,909,229,935,736,697,686,833,234,183,479,464,614,448600.59,113013.79,461431.85,363223.36,343976.47,338547.86,411093.83,115481.34,90312.33,236391.29,228988.64,303015.14,3454076.49
71,Product_71,Home & Kitchen,387.26,2.2,445,187,19,912,844,98,928,437,958,663,888,779,53,72417.62,7357.94,353181.12,326847.44,37951.48,359377.28,169232.62,370995.08,256753.38,343886.88,301675.54,20524.78,2620201.16
72,Product_72,Toys,103.36,1.9,425,972,986,398,360,593,228,154,778,712,162,259,694,100465.92,101912.96,41137.28,37209.6,61292.48,23566.08,15917.44,80414.08,73592.32,16744.32,26770.24,71731.84,650754.56
73,Product_73,Health,7.73,1.2,161,684,552,105,373,586,225,677,798,127,782,372,862,5287.32,4266.96,811.65,2883.29,4529.78,1739.25,5233.21,6168.54,981.71,6044.86,2875.56,6663.26,47485.39
74,Product_74,Books,408.65,1.1,178,991,949,270,553,885,595,89,432,286,887,972,402,404972.15,387808.85,110335.5,225983.45,361655.25,243146.75,36369.85,176536.8,116873.9,362472.55,397207.8,164277.3,2987640.15
75,Product_75,Toys,354.89,5,629,289,147,974,302,851,802,697,495,822,95,94,317,102563.21,52168.83,345662.86,107176.78,302011.39,284621.78,247358.33,175670.55,291719.58,33714.55,33359.66,112500.13,2088527.65
76,Product_76,Toys,365.86,2.7,708,44,107,830,420,191,434,829,998,252,773,124,866,16097.84,39147.02,303663.8,153661.2,69879.26,158783.24,303297.94,365128.28,92196.72,282809.78,45366.64,316834.76,2146866.48
77,Product_77,Home & Kitchen,386.78,2.5,895,572,402,502,245,324,881,357,99,1000,509,40,348,221238.16,155485.56,194163.56,94761.1,125316.72,340753.18,138080.46,38291.22,386780,196871.02,15471.2,134599.44,2041811.62
78,Product_78,Home & Kitchen,41.65,3.7,490,82,595,678,719,978,757,173,989,777,364,890,442,3415.3,24781.75,28238.7,29946.35,40733.7,31529.05,7205.45,41191.85,32362.05,15160.6,37068.5,18409.3,310042.6
79,Product_79,Health,182.44,1.9,327,122,482,524,236,725,401,216,598,699,980,253,832,22257.68,87936.08,95598.56,43055.84,132269,73158.44,39407.04,109099.12,127525.56,178791.2,46157.32,151790.08,1107045.92
80,Product_80,Electronics,62.36,4.8,598,357,366,848,533,826,621,906,402,385,352,6,579,22262.52,22823.76,52881.28,33237.88,51509.36,38725.56,56498.16,25068.72,24008.6,21950.72,374.16,36106.44,385447.16
81,Product_81,Sports,432.24,4.1,289,527,833,31,184,955,765,455,395,229,799,470,539,227790.48,360055.92,13399.44,79532.16,412789.2,330663.6,196669.2,170734.8,98982.96,345359.76,203152.8,232977.36,2672107.68
82,Product_82,Clothing,313.53,1.4,593,65,413,392,467,466,87,775,526,270,435,727,785,20379.45,129487.89,122903.76,146418.51,146104.98,27277.11,242985.75,164916.78,84653.1,136385.55,227936.31,246121.05,1695570.24
83,Product_83,Books,168.79,2.7,664,935,308,39,753,893,583,608,414,770,82,510,281,157818.65,51987.32,6582.81,127098.87,150729.47,98404.57,102624.32,69879.06,129968.3,13840.78,86082.9,47429.99,1042447.04
84,Product_84,Home & Kitchen,36.46,4.5,573,656,801,659,362,366,892,628,938,810,224,580,359,23917.76,29204.46,24027.14,13198.52,13344.36,32522.32,22896.88,34199.48,29532.6,8167.04,21146.8,13089.14,265246.5
85,Product_85,Books,158.94,4.8,573,374,917,217,282,317,541,198,612,414,411,68,914,59443.56,145747.98,34489.98,44821.08,50383.98,85986.54,31470.12,97271.28,65801.16,65324.34,10807.92,145271.16,836819.1
86,Product_86,Sports,165.97,2.9,354,161,834,730,552,143,683,831,676,197,734,80,822,26721.17,138418.98,121158.1,91615.44,23733.71,113357.51,137921.07,112195.72,32696.09,121821.98,13277.6,136427.34,1069344.71
87,Product_87,Sports,366.16,3.5,28,745,133,980,335,383,308,485,462,322,980,541,630,272789.2,48699.28,358836.8,122663.6,140239.28,112777.28,177587.6,169165.92,117903.52,358836.8,198092.56,230680.8,2308272.64
88,Product_88,Health,320.59,1.7,954,379,718,81,161,215,905,532,540,55,117,584,891,121503.61,230183.62,25967.79,51614.99,68926.85,290133.95,170553.88,173118.6,17632.45,37509.03,187224.56,285645.69,1660015.02
89,Product_89,Toys,444.17,5,43,655,282,844,159,360,342,199,625,830,481,261,952,290931.35,125255.94,374879.48,70623.03,159901.2,151906.14,88389.83,277606.25,368661.1,213645.77,115928.37,422849.84,2660578.3
90,Product_90,Health,238.75,1.9,681,357,777,719,473,323,435,370,618,202,191,88,645,85233.75,185508.75,171661.25,112928.75,77116.25,103856.25,88337.5,147547.5,48227.5,45601.25,21010,153993.75,1241022.5
91,Product_91,Clothing,64.2,4.8,423,187,72,200,600,14,176,958,921,782,590,914,640,12005.4,4622.4,12840,38520,898.8,11299.2,61503.6,59128.2,50204.4,37878,58678.8,41088,388666.8
92,Product_92,Electronics,358.06,3.6,598,321,480,446,321,216,138,852,363,620,589,207,7,114937.26,171868.8,159694.76,114937.26,77340.96,49412.28,305067.12,129975.78,221997.2,210897.34,74118.42,2506.42,1632753.6
93,Product_93,Books,381.59,3.4,177,449,351,843,11,491,193,447,129,627,658,212,992,171333.91,133938.09,321680.37,4197.49,187360.69,73646.87,170570.73,49225.11,239256.93,251086.22,80897.08,378537.28,2061730.77
94,Product_94,Clothing,282.83,3.1,529,473,559,427,423,950,185,247,83,603,106,833,562,133778.59,158101.97,120768.41,119637.09,268688.5,52323.55,69859.01,23474.89,170546.49,29979.98,235597.39,158950.46,1541706.33
95,Product_95,Electronics,386.63,1.9,610,12,325,37,72,546,217,787,270,137,381,265,490,4639.56,125654.75,14305.31,27837.36,211099.98,83898.71,304277.81,104390.1,52968.31,147306.03,102456.95,189448.7,1368283.57
96,Product_96,Books,249.43,1.7,966,183,744,210,587,182,163,263,243,421,782,911,340,45645.69,185575.92,52380.3,146415.41,45396.26,40657.09,65600.09,60611.49,105010.03,195054.26,227230.73,84806.2,1254383.47
97,Product_97,Clothing,263.75,1.9,494,110,442,443,857,269,160,57,387,814,389,292,471,29012.5,116577.5,116841.25,226033.75,70948.75,42200,15033.75,102071.25,214692.5,102598.75,77015,124226.25,1237251.25
98,Product_98,Home & Kitchen,216.63,1.7,198,926,99,326,200,944,942,301,213,56,243,206,792,200599.38,21446.37,70621.38,43326,204498.72,204065.46,65205.63,46142.19,12131.28,52641.09,44625.78,171570.96,1136874.24
99,Product_99,Books,17.58,4.1,610,507,58,760,521,466,524,30,817,561,584,332,686,8913.06,1019.64,13360.8,9159.18,8192.28,9211.92,527.4,14362.86,9862.38,10266.72,5836.56,12059.88,102772.68
100,Product_100,Clothing,58.41,2.4,577,289,507,226,863,869,807,497,165,70,868,76,694,16880.49,29613.87,13200.66,50407.83,50758.29,47136.87,29029.77,9637.65,4088.7,50699.88,4439.16,40536.54,346429.71
101,Product_101,Sports,20.56,1.2,842,294,257,47,504,611,600,248,790,910,467,287,703,6044.64,5283.92,966.32,10362.24,12562.16,12336,5098.88,16242.4,18709.6,9601.52,5900.72,14453.68,117562.08
102,Product_102,Electronics,320.02,4.9,853,450,412,17,737,518,835,604,58,913,865,46,248,144009,131848.24,5440.34,235854.74,165770.36,267216.7,193292.08,18561.16,292178.26,276817.3,14720.92,79364.96,1825074.06
103,Product_103,Clothing,160.61,4.5,517,903,451,911,687,541,41,776,601,593,933,621,234,145030.83,72435.11,146315.71,110339.07,86890.01,6585.01,124633.36,96526.61,95241.73,149849.13,99738.81,37582.74,1171168.12
104,Product_104,Home & Kitchen,256.74,4.7,514,214,64,438,787,466,914,270,882,371,537,199,82,54942.36,16431.36,112452.12,202054.38,119640.84,234660.36,69319.8,226444.68,95250.54,137869.38,51091.26,21052.68,1341209.76
105,Product_105,Health,454.25,5,22,973,594,806,38,304,209,605,842,616,209,426,92,441985.25,269824.5,366125.5,17261.5,138092,94938.25,274821.25,382478.5,279818,94938.25,193510.5,41791,2595584.5
106,Product_106,Books,128.4,1.7,112,631,153,707,59,984,740,665,923,599,603,209,884,81020.4,19645.2,90778.8,7575.6,126345.6,95016,85386,118513.2,76911.6,77425.2,26835.6,113505.6,918958.8
107,Product_107,Books,208.14,2.6,57,893,984,186,577,143,861,393,503,513,636,887,393,185869.02,204809.76,38714.04,120096.78,29764.02,179208.54,81799.02,104694.42,106775.82,132377.04,184620.18,81799.02,1450527.66
108,Product_108,Books,379,4,66,566,265,344,320,110,274,796,705,871,946,419,823,214514,100435,130376,121280,41690,103846,301684,267195,330109,358534,158801,311917,2440381
109,Product_109,Home & Kitchen,118.26,3.8,842,26,820,223,434,231,953,501,122,83,72,153,267,3074.76,96973.2,26371.98,51324.84,27318.06,112701.78,59248.26,14427.72,9815.58,8514.72,18093.78,31575.42,459440.1
110,Product_110,Electronics,43.11,1.6,98,629,78,829,635,690,278,591,647,993,991,521,416,27116.19,3362.58,35738.19,27374.85,29745.9,11984.58,25478.01,27892.17,42808.23,42722.01,22460.31,17933.76,314616.78
111,Product_111,Books,148.43,4.3,144,732,314,487,675,583,250,803,412,42,634,414,631,108650.76,46607.02,72285.41,100190.25,86534.69,37107.5,119189.29,61153.16,6234.06,94104.62,61450.02,93659.33,887166.11
112,Product_112,Electronics,84.8,1.9,880,230,661,908,407,721,309,83,138,665,308,352,582,19504,56052.8,76998.4,34513.6,61140.8,26203.2,7038.4,11702.4,56392,26118.4,29849.6,49353.6,454867.2
113,Product_113,Clothing,465.2,1.9,435,564,946,876,922,731,719,364,228,838,695,156,528,262372.8,440079.2,407515.2,428914.4,340061.2,334478.8,169332.8,106065.6,389837.6,323314,72571.2,245625.6,3520168.4
114,Product_114,Sports,405.02,3.1,637,806,559,848,385,591,832,885,273,933,698,260,252,326446.12,226406.18,343456.96,155932.7,239366.82,336976.64,358442.7,110570.46,377883.66,282703.96,105305.2,102065.04,2965556.44
115,Product_115,Sports,318.53,3.4,679,320,916,228,670,499,139,548,438,605,709,76,956,101929.6,291773.48,72624.84,213415.1,158946.47,44275.67,174554.44,139516.14,192710.65,225837.77,24208.28,304514.68,1944307.12
116,Product_116,Electronics,436.37,3.3,86,912,890,389,568,594,791,341,561,809,589,768,121,397969.44,388369.3,169747.93,247858.16,259203.78,345168.67,148802.17,244803.57,353023.33,257021.93,335132.16,52800.77,3199901.21
117,Product_117,Electronics,402.82,1.4,588,232,247,978,77,553,545,838,909,132,859,982,891,93454.24,99496.54,393957.96,31017.14,222759.46,219536.9,337563.16,366163.38,53172.24,346022.38,395569.24,358912.62,2917625.26
118,Product_118,Sports,97.35,4.5,344,669,789,588,193,272,820,406,117,394,185,487,9,65127.15,76809.15,57241.8,18788.55,26479.2,79827,39524.1,11389.95,38355.9,18009.75,47409.45,876.15,479838.15
119,Product_119,Books,446.82,2.1,936,436,867,187,284,702,903,424,713,64,855,130,798,194813.52,387392.94,83555.34,126896.88,313667.64,403478.46,189451.68,318582.66,28596.48,382031.1,58086.6,356562.36,2843115.66
120,Product_120,Toys,271.97,1.5,294,780,609,857,526,172,529,743,994,289,252,578,315,212136.6,165629.73,233078.29,143056.22,46778.84,143872.13,202073.71,270338.18,78599.33,68536.44,157198.66,85670.55,1806968.68
121,Product_121,Toys,404.68,4.6,956,532,413,269,523,972,56,92,904,375,12,454,837,215289.76,167132.84,108858.92,211647.64,393348.96,22662.08,37230.56,365830.72,151755,4856.16,183724.72,338717.16,2201054.52
122,Product_122,Home & Kitchen,448.57,4.8,571,402,24,606,612,6,111,847,482,768,298,739,272,180325.14,10765.68,271833.42,274524.84,2691.42,49791.27,379938.79,216210.74,344501.76,133673.86,331493.23,122011.04,2317761.19
123,Product_123,Health,162.41,4.4,650,52,283,309,155,154,4,613,394,466,75,162,305,8445.32,45962.03,50184.69,25173.55,25011.14,649.64,99557.33,63989.54,75683.06,12180.75,26310.42,49535.05,482682.52
124,Product_124,Sports,59.48,4.2,611,786,448,131,339,521,409,411,702,897,50,14,804,46751.28,26647.04,7791.88,20163.72,30989.08,24327.32,24446.28,41754.96,53353.56,2974,832.72,47821.92,327853.76
